"","year","state","fleet","catch","seas","catch_se"
"1",1889,"WA and OR",2,109,1,0
"2",1889,"WA and OR",1,0,1,0
"3",1890,"WA and OR",2,112.67,1,0
"4",1890,"WA and OR",1,0,1,0
"5",1891,"WA and OR",2,115.53,1,0
"6",1891,"WA and OR",1,0,1,0
"7",1892,"WA and OR",2,158.35340162,1,0
"8",1892,"WA and OR",1,0,1,0
"9",1893,"WA and OR",2,134.667089365,1,0
"10",1893,"WA and OR",1,0,1,0
"11",1894,"WA and OR",2,116.197089365,1,0
"12",1894,"WA and OR",1,0,1,0
"13",1895,"WA and OR",2,136.781392422,1,0
"14",1895,"WA and OR",1,0,1,0
"15",1896,"WA and OR",2,178.00821904724,1,0
"16",1896,"WA and OR",1,0,1,0
"17",1897,"WA and OR",2,164.9609042325,1,0
"18",1897,"WA and OR",1,0,1,0
"19",1898,"WA and OR",2,57.45388555,1,0
"20",1898,"WA and OR",1,0,1,0
"21",1899,"WA and OR",2,45.23120166392,1,0
"22",1899,"WA and OR",1,0,1,0
"23",1900,"WA and OR",2,50.83651777784,1,0
"24",1900,"WA and OR",1,0,1,0
"25",1901,"WA and OR",2,56.44183389176,1,0
"26",1901,"WA and OR",1,0,1,0
"27",1902,"WA and OR",2,62.04715000568,1,0
"28",1902,"WA and OR",1,0,1,0
"29",1903,"WA and OR",2,67.6524661196,1,0
"30",1903,"WA and OR",1,0,1,0
"31",1904,"WA and OR",2,73.25778223352,1,0
"32",1904,"WA and OR",1,0,1,0
"33",1905,"WA and OR",2,66.16509834744,1,0
"34",1905,"WA and OR",1,0,1,0
"35",1906,"WA and OR",2,59.07241446136,1,0
"36",1906,"WA and OR",1,0,1,0
"37",1907,"WA and OR",2,51.97973057528,1,0
"38",1907,"WA and OR",1,0,1,0
"39",1908,"WA and OR",2,44.8870466892,1,0
"40",1908,"WA and OR",1,0,1,0
"41",1909,"WA and OR",2,88.2929342316914,1,0
"42",1909,"WA and OR",1,0,1,0
"43",1910,"WA and OR",2,131.698821774183,1,0
"44",1910,"WA and OR",1,0,1,0
"45",1911,"WA and OR",2,175.104709316674,1,0
"46",1911,"WA and OR",1,0,1,0
"47",1912,"WA and OR",2,218.510596859166,1,0
"48",1912,"WA and OR",1,0,1,0
"49",1913,"WA and OR",2,261.916484401657,1,0
"50",1913,"WA and OR",1,0,1,0
"51",1914,"WA and OR",2,305.322371944149,1,0
"52",1914,"WA and OR",1,0,1,0
"53",1915,"WA and OR",2,348.72825948664,1,0
"54",1915,"WA and OR",1,0,1,0
"55",1916,"WA and OR",2,455.62557560056,1,0
"56",1916,"WA and OR",1,0,1,0
"57",1917,"WA and OR",2,562.52289171448,1,0
"58",1917,"WA and OR",1,0,1,0
"59",1918,"WA and OR",2,669.4202078284,1,0
"60",1918,"WA and OR",1,0,1,0
"61",1919,"WA and OR",2,223.77752394232,1,0
"62",1919,"WA and OR",1,0,1,0
"63",1920,"WA and OR",2,177.49484005624,1,0
"64",1920,"WA and OR",1,0,1,0
"65",1921,"WA and OR",2,165.91215617016,1,0
"66",1921,"WA and OR",1,0,1,0
"67",1922,"WA and OR",2,93.20947228408,1,0
"68",1922,"WA and OR",1,0,1,0
"69",1923,"WA and OR",2,82.416788398,1,0
"70",1923,"WA and OR",1,0,1,0
"71",1924,"WA and OR",2,195.83410451192,1,0
"72",1924,"WA and OR",1,0,1,0
"73",1925,"WA and OR",2,260.49142062584,1,0
