"Year","OFL","ABC","ACL","Landings","Total Mortality"
2011,"fill in","fill in","fill in","213.19","215.17"
2012,"fill in","fill in","fill in","273.56","276.85"
2013,"fill in","fill in","fill in","428.67","431.79"
2014,"fill in","fill in","fill in","503.06","506.73"
2015,"fill in","fill in","fill in","711.70","717.46"
2016,"fill in","fill in","fill in","675.65","679.53"
2017,"fill in","fill in","fill in","546.18","549.83"
2018,"fill in","fill in","fill in","449.46","454.40"
2019,"fill in","fill in","fill in","389.23","396.61"
2020,"fill in","fill in","fill in","286.50","291.91"
