#V3.30.01.05-trans
#_SS-V3.30.01.05-trans;_2017_01_13;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.2
#_SS-V3.30.01.05-trans;user_support_available_at:NMFS.Stock.Synthesis@noaa.gov
#_SS-V3.30.01.05-trans;user_info_available_at:https://vlab.ncep.noaa.gov/group/stock-synthesis
#_Start_time: Tue Jan 31 09:42:17 2017
#_Number_of_datafiles: 2
#_observed data:
#V3.30.01.05-trans
1889 #_styr
2016 #_endyr
1 #_nseas
12 #_months/season
2 #_N_subseasons(even number, minimum is 2)
1 #_spawn_month
2 #_Ngenders
25 #_Nages=accumulator age
1 #_N_areas
8 #_Nfleets (including surveys)
#_fleet_type: 1=catch fleet; 2=bycatch only fleet; 3=survey; 4=ignore 
#_survey_timing: -1=for use of catch-at-age to override the month value associated with a datum 
#_fleet_area:  area the fleet/survey operates in 
#_units of catch:  1=bio; 2=num (ignored for surveys; their units read later)
#_catch_mult: 0=no; 1=yes
#_rows are fleets
#_fleet_type, timing, area, units, need_catch_mult fleetname
#north fishery
1	-1	1	1	0	1_N_TRAWL	#
1	-1	1	1	0	2_N_FIX	# this is the OR nearshore index
1	-1	1	2	0	3_WA_REC	#
1	-1	1	1	0	4_OR_REC	#
#North survey
3	0.5	1	1	0	5_N_TRI_Early	#
3	0.5	1	1	0	6_N_TRI_Late	#
3	0.5	1	1	0	7_N_NWFSC	#
#research studies
#Lam study
3 0.5  1 1 0 8_N_Lam_Research  #
#_Catch data: yr, seas, fleet, catch, catch_se
#_catch_se:  standard error of log(catch); can be overridden in control file with detailed F input
#Year	Season	Fleet	Catch	Catch_se
#commercial fleets
-999	1	1	0	0.01
1889	1	1	0	0
1890	1	1	0	0
1891	1	1	0	0
1892	1	1	0	0
1893	1	1	0	0
1894	1	1	0	0
1895	1	1	0	0
1896	1	1	0	0
1897	1	1	0	0
1898	1	1	0	0
1899	1	1	0	0
1900	1	1	0	0
1901	1	1	0	0
1902	1	1	0	0
1903	1	1	0	0
1904	1	1	0	0
1905	1	1	0	0
1906	1	1	0	0
1907	1	1	0	0
1908	1	1	0	0
1909	1	1	0	0
1910	1	1	0	0
1911	1	1	0	0
1912	1	1	0	0
1913	1	1	0	0
1914	1	1	0	0
1915	1	1	0	0
1916	1	1	0	0
1917	1	1	0	0
1918	1	1	0	0
1919	1	1	0	0
1920	1	1	0	0
1921	1	1	0	0
1922	1	1	0	0
1923	1	1	0	0
1924	1	1	0	0
1925	1	1	0	0
1926	1	1	0	0
1927	1	1	0	0
1928	1	1	0	0
1929	1	1	8.01	0.01
1930	1	1	31.75	0.01
1931	1	1	7.16	0.01
1932	1	1	10.21	0.01
1933	1	1	27.831	0.01
1934	1	1	91.547	0.01
1935	1	1	106.708	0.01
1936	1	1	149.804	0.01
1937	1	1	212.536	0.01
1938	1	1	145.574	0.01
1939	1	1	311.062	0.01
1940	1	1	563.986	0.01
1941	1	1	525.578	0.01
1942	1	1	855.757	0.01
1943	1	1	872.391	0.01
1944	1	1	1403.607	0.01
1945	1	1	1031.658	0.01
1946	1	1	1258.969	0.01
1947	1	1	658.059	0.01
1948	1	1	1002.713	0.01
1949	1	1	708.941	0.01
1950	1	1	779.385	0.01
1951	1	1	919.881	0.01
1952	1	1	593.758	0.01
1953	1	1	288.207	0.01
