"","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Biomass (mt)","17159.8","13486.7","20832.9"
"Unfished Age 3+ Biomass (mt)","32693","24945","40441"
"Unfished Recruitment (R0)","16734.6","9454.1","24015.1"
"Spawning Biomass (mt) (2021)","11010.2","7142.9","14877.5"
"Fraction Unfished (2021)","0.641626","0.515352","0.7679"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Biomass (mt) SB40\%","6863.91","5394.67","8333.15"
"SPR Resulting in SB40\%","0.437175","0.374111","0.500239"
"Exploitation Rate Resulting in SB40\%","0.232151","0.179413","0.284889"
"Yield with SPR Based On SB40\% (mt)","3707.56","2395.74","5019.38"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Biomass (mt) (SPR45)","7098.53","5534.9","8662.16"
"SPR45","0.45","",""
"Exploitation Rate Corresponding to SPR45","0.222366","0.204304","0.240428"
"Yield with SPR45 at SB SPR (mt)","3644.93","2488.92","4800.94"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Biomass (mt) at MSY (SB MSY)","3675.78","1155.11","6196.45"
"SPR MSY","0.262895","0.061844","0.463946"
"Exploitation Rate Corresponding to SPR MSY","0.430099","0.088861","0.771337"
"MSY (mt)","4222.53","2271.07","6173.99"
