"Label","Base model","shareM","h0.7","M0.3_h0.7","sigmaR0.8","sigmaR0.4"
"TOTAL likelihood (diff from base)",0,1.86000000000013,1,2.76999999999998,-3.54999999999973,15.8600000000001
"Survey likelihood (diff from base)",0,0.70273,0.29832,0.0839300000000001,0.23389,0.66702
"Length comp likelihood (diff from base)",0,2.22000000000025,-0.879999999999654,2.96000000000004,-6.90999999999985,18.6500000000001
"Age comp likelihood (diff from base)",0,-0.963999999999942,1.34400000000005,0.206000000000017,-0.342999999999961,0.479000000000042
"Discard likelihood (diff from base)",0,-0.555,-0.120100000000001,-0.0210000000000008,-0.119600000000005,0.223699999999994
"Parm priors likelihood (diff from base)",0,0.20318,-1.50167,-0.0896400000000002,-1.19592,0.51506
"Recr Virgin millions",2.94882,4.16937,2.44019,2.93818,3.20975,2.90181
"log(R0)",7.98916,8.33552,7.79983,7.98555,8.07395,7.97309
"M Female ",0.231156,0.278481,0.229457,0.230883,0.249774,0.221231
"M Male ",0.253881,0.278481,0.254487,0.254178,0.269263,0.245291
"SSB Virgin 1000 mt",15.488,12.732,13.321,15.577,13.901,16.959
"SSB 2021 1000 mt",8.202,7.414,9.813,8.545,8.698,8.581
"Fraction unfished 2021",0.529579,0.582285,0.736628,0.54855,0.625721,0.505962
"Fishing intensity 2020",0.281344,0.230705,0.248521,0.274053,0.249176,0.28114
"Retained Catch MSY mt",942.698,976.785,1054.21,952.271,1131.89,911.424
"Dead Catch MSY mt",948.648,982.996,1062.11,958.345,1139.96,916.94
"Virgin age 3+ bio 1000 mt",21.8798,20.2247,18.5784,21.927,20.1159,23.6508
"OFL mt 2021",278.463,278.5,276.585,278.1,274.208,283.307
